¤@2542556
¤A  11559
¤B  13648
¤C  62853
¤D  15520
¤E  60561
¤F1507218
¤G 260189
¤H1598855
¤I     13
¤J 167507
¤K  85474
¤L   3882
¤M  26549
¤N   1380
¤O 247326
¤P    529
¤Q 222525
¤R   3843
¤S 249806
¤T 301762
¤U 589356
¤V   5182
¤W 828394
¤X    601
¤Y   9938
¤Z  20171
¤[  75514
¤\   7768
¤] 712260
¤^   1137
¤_  10333
¤`  15636
¤a    463
¤b   1331
¤c    145
¤d  59102
¤e   4792
¤f  88727
¤g  45706
¤h 113982
¤i   7207
¤j1891383
¤k 245920
¤l 459460
¤m    114
¤n     76
¤o   4930
¤p 530133
¤q     36
¤r    401
¤s 131818
¤t  12738
¤u 521467
¤v 228330
¤w 235726
¤x    650
¤y   1208
¤z  12270
¤{     34
¤|    430
¤}   2630
¤~ 214782
¤¡   1246
¤¢   1256
¤£2831612
¤¤1322363
¤¥   1128
¤¦   7705
¤§ 527444
¤¨   3101
¤©  15645
¤ª   6741
¤«  12829
¤¬  19113
¤­ 122901
¤®    574
¤¯  30825
¤° 276297
¤±     96
¤²    361
¤³   5949
¤´  47529
¤µ 143560
¤¶  53811
¤·   1284
¤¸ 100523
¤¹   5483
¤º 160755
¤»  71823
¤¼  18079
¤½ 195727
¤¾   1081
¤¿   1803
¤À 243477
¤Á  58909
¤Â    122
¤Ã   1148
¤Ä   4383
¤Å   9734
¤Æ 119804
¤Ç   3185
¤È  33188
¤É  26085
¤Ê   1428
¤Ë    132
¤Ì    921
¤Í 214814
¤Î 193509
¤Ï 114332
¤Ð    288
¤Ñ 569684
¤Ò  33289
¤Ó 232918
¤Ô   1099
¤Õ   8556
¤Ö 206744
¤×  29292
¤Ø  11878
¤Ù   1101
¤Ú  31055
¤Û  23331
¤Ü   2475
¤Ý    644
¤Þ  74461
¤ß 445610
¤à   3008
¤á  12704
¤â 236673
¤ã   3344
¤ä  92264
¤å 651140
¤æ   5641
¤ç   3032
¤è 310681
¤é 273090
¤ê   7315
¤ë 177519
¤ì  39692
¤í   4705
¤î  36248
¤ï   2758
¤ð   3073
¤ñ 253132
¤ò  27053
¤ó   6761
¤ô 186822
¤õ  64196
¤ö   1861
¤÷  30608
¤ø    306
¤ù 107600
¤ú  12472
¤û  34225
¤ü   2637
¤ý 119466
¤þ   5272
¥@ 116862
¥A    412
¥B 128957
¥C   3116
¥D 224073
¥E   1086
¥F   7468
¥G  76041
¥H 994958
¥I  25729
¥J  30580
¥K   1816
¥L 635766
¥M   3632
¥N 141314
¥O  69051
¥P  16789
¥Q    249
¥R  29996
¥S  89901
¥T    485
¥U  23203
¥V  11656
¥W   1195
¥X 513081
¥Y   1661
¥Z  17481
¥[ 205509
¥\ 111553
¥]  60049
¥^   4444
¥_ 112186
¥`    210
¥a   1341
¥b  69801
¥c    421
¥d  90309
¥e   4124
¥f    883
¥g     19
¥h 443547
¥i 992842
¥j  51625
¥k  39017
¥l   7837
¥m   3687
¥n   1059
¥o    340
¥p    144
¥q  49008
¥r     54
¥s 100049
¥t  83262
¥u 443992
¥v  43277
¥w    282
¥x 414094
¥y  41088
¥z   8189
¥{     25
¥| 165306
¥}   1091
¥~ 217422
¥¡ 103704
¥¢  84799
¥£   2456
¥¤  11954
¥¥   3953
¥¦ 160436
¥§  18042
¥¨  20242
¥©  24208
¥ª  40106
¥« 105637
¥¬  26349
¥­ 110325
¥®   7818
¥¯     87
¥°   6356
¥±   1864
¥² 112173
¥³    655
¥´ 233464
¥µ    931
¥¶    653
¥·    493
¥¸   4420
¥¹   8350
¥º   1062
¥» 353034
¥¼  97286
¥½  20573
¥¾   4090
¥¿ 266725
¥À  31843
¥Á 211274
¥Â    112
¥Ã  61245
¥Ä   2941
¥Å    943
¥Æ   1009
¥Ç  21825
¥È   7281
¥É  18649
¥Ê  11982
¥Ë   5660
¥Ì   8693
¥Í 601668
¥Î 695290
¥Ï   2623
¥Ð  35956
¥Ñ 163832
¥Ò  40313
¥Ó  22385
¥Ô   1938
¥Õ 104398
¥Ö  28034
¥×    182
¥Ø 157966
¥Ù   6355
¥Ú   2250
¥Û  37521
¥Ü  63561
¥Ý    546
¥Þ   3218
¥ß 158292
¥à   1308
¥á  20121
¥â    239
¥ã    227
¥ä    336
¥å    343
¥æ 728005
¥ç  42217
¥è    814
¥é   4259
¥ê     53
¥ë  11837
¥ì  14371
¥í    114
¥î  11666
¥ï   2395
¥ð  19366
¥ñ   4648
¥ò   6118
¥ó  98128
¥ô 117100
¥õ   9993
¥ö     41
¥÷  99488
¥ø  14761
¥ù     27
¥ú 145520
¥û   5850
¥ü   3268
¥ý 172122
¥þ 207034
¦@  89634
¦A 261987
¦B  16718
¦C  61352
¦D   4795
¦E   3646
¦F    108
¦G     31
¦H   4643
¦I    468
¦J   1407
¦K   1657
¦L  50702
¦M  15900
¦N  30644
¦O    548
¦P 395867
¦Q   6402
¦R   7761
¦S    311
¦T   3566
¦U 210520
¦V 107020
¦W 278941
¦X 156030
¦Y  84729
¦Z  10315
¦[    242
¦\    207
¦] 326759
¦^ 205155
¦_    450
¦`    485
¦a 374510
¦b1715554
¦c   1473
¦d     46
¦e     33
¦f      8
¦g    362
¦h 542911
¦i   1728
¦j    556
¦k   3352
¦l   3401
¦m    803
¦n 860232
¦o 211517
¦p 659275
¦q     60
¦r 135740
¦s  64502
¦t  18185
¦u  36214
¦v   3439
¦w 103801
¦x   3515
¦y   9349
¦z    229
¦{  10405
¦|   2933
¦}   2789
¦~ 343135
¦¡ 202729
¦¢    211
¦£  34193
¦¤    186
¦¥    268
¦¦    681
¦§    120
¦¨ 406735
¦©   7263
¦ª    906
¦«   8962
¦¬  71165
¦­  67132
¦®   4067
¦¯   1559
¦°   6115
¦±  65789
¦²    889
¦³2289333
¦´   1019
¦µ    370
¦¶  20145
¦·   8005
¦¸ 236297
¦¹ 295670
¦º 114694
¦»     55
¦¼   5218
¦½   4509
¦¾   1485
¦¿  33665
¦À  10502
¦Á   1017
¦Â     83
¦Ã   9410
¦Ä     38
¦Å     11
¦Æ    596
¦Ç   9328
¦È    738
¦É     41
¦Ê  64888
¦Ë  96078
¦Ì  18398
¦Í    146
¦Î     21
¦Ï  11499
¦Ð   8817
¦Ñ 198538
¦Ò 148422
¦Ó 459507
¦Ô     20
¦Õ  13349
¦Ö    359
¦×  28277
¦Ø    544
¦Ù   1908
¦Ú   4750
¦Û 462155
¦Ü 158841
¦Ý    484
¦Þ   3769
¦ß     33
¦à   5897
¦á     59
¦â 108485
¦ã   7814
¦ä   4789
¦å  36175
¦æ 285867
¦ç  22367
¦è 121877
¦é     58
¦ê   8282
¦ë   7495
¦ì 291403
¦í  84509
¦î   3336
¦ï    290
¦ð    181
¦ñ  18685
¦ò  47189
¦ó 394682
¦ô   8551
¦õ   3087
¦ö   4232
¦÷    914
¦ø   2257
¦ù   8263
¦ú     78
¦û  16103
¦ü  75146
¦ý 362245
¦þ    286
§@ 287015
§A 915385
§B  22436
§C  46654
§D   1445
§E   5368
§F     19
§G  16807
§H    136
§I    771
§J  47635
§K  48015
§L  44572
§M    492
§N  32223
§O 190394
§P  28059
§Q 105611
§R   7613
§S    120
§T   5241
§U  54145
§V  24544
§W     20
§X   1322
§Y  84346
§Z   1907
§[   6726
§\    832
§]   3112
§^   8990
§_ 168690
§`    739
§a 295069
§b  24715
§c   1408
§d  34275
§e   4717
§f   8405
§g  36180
§h    418
§i 153380
§j  15424
§k   4244
§l  20676
§m    328
§n  13174
§o   1747
§p   1054
§q   1694
§r  44977
§s    558
§t  28115
§u   5802
§v     83
§w    117
§x  18744
§y    181
§z     45
§{   2511
§|   4295
§}  18844
§~    240
§¡  24957
§¢   2649
§£   8302
§¤  32688
§¥     68
§¦     74
§§   8274
§¨   5754
§©   2032
§ª   1712
§«  10928
§¬   1055
§­     38
§®  13233
§¯   4491
§°    266
§±    167
§²   2099
§³     31
§´   5103
§µ   6022
§¶    309
§·    287
§¸     24
§¹ 138826
§º  11270
§»  19842
§¼   1871
§½  48936
§¾  11781
§¿   3328
§À  15029
§Á    658
§Â    323
§Ã    881
§Ä    148
§Å   7709
§Æ 120764
§Ç  21328
§È    439
§É  11827
§Ê   6457
§Ë  25855
§Ì 141812
§Í    480
§Î  80289
§Ï   4222
§Ð  11706
§Ñ  57999
§Ò   8216
§Ó  49868
§Ô  23037
§Õ    599
§Ö 159776
§×     87
§Ø    167
§Ù   7180
§Ú2584497
§Û   7036
§Ü  20511
§Ý   3140
§Þ  54857
§ß   3238
§à   1423
§á   5035
§â 197579
§ã    573
§ä 166755
§å  23428
§æ   1394
§ç   1861
§è   7783
§é  14728
§ê   4747
§ë  94384
§ì  37600
§í   4322
§î     12
§ï 128407
§ð  33870
§ñ    769
§ò    491
§ó 152691
§ô  21572
§õ  72434
§ö    931
§÷  19462
§ø  15667
§ù   8669
§ú   1762
§û    259
§ü   4947
§ý   1083
§þ     48
¨@     61
¨A     14
¨B  51305
¨C 131090
¨D  99296
¨E    380
¨F  23234
¨G    534
¨H  13634
¨I  14364
¨J    182
¨K   1788
¨L   9235
¨M  97148
¨N    727
¨O   2062
¨P   1704
¨Q    242
¨R   8783
¨S 638184
¨T  15769
¨U    266
¨V    877
¨W     63
¨X     34
¨Y     26
¨Z    452
¨[     21
¨\     13
¨]      9
¨^    343
¨_    262
¨`    491
¨a   5317
¨b    502
¨c   4712
¨d   4509
¨e  11796
¨f   1582
¨g  40001
¨h    599
¨i    137
¨j   2115
¨k 133706
¨l    521
¨m    874
